"id";"source";"target";"kmh"
1947;2559;2560;40
3732;4694;4507;20
4046;5021;5014;50
5534;6603;6604;60
5940;5505;7037;40
6519;7640;7641;20
6608;7730;7731;40
6927;8063;3892;30
8835;10021;10019;120
10531;11601;11602;70
11545;2373;12578;30
11827;12881;12882;40
11857;12895;12889;40
12736;13667;13668;40
12888;13778;13779;40
15721;16274;16248;50
16058;16623;16624;40
18314;18636;18652;40
18389;8118;18715;40
20271;20270;20250;40
22177;21841;21858;30
23767;7157;7153;40
24161;3956;23339;30
25585;24466;24469;40
26154;24641;24811;30
26326;24883;24884;30
28377;26128;1493;20
29165;4426;24872;20
31096;27797;27779;20
31774;28194;549;30
32027;26629;113;20
34293;10714;29522;30
34676;15191;29165;30
34923;29855;29856;40
34960;12319;12347;50
35363;13820;30149;40
35460;30215;30234;50
37282;18003;1908;20
37351;31257;31262;20
37983;31581;31582;30
39455;32304;32305;30
39518;22229;23020;20
40252;18302;26260;40
41329;11564;33237;40
41487;17533;33289;120
41579;4410;33413;40
42073;33725;33729;30
42205;33804;33802;40
42848;12745;34091;120
45168;35292;10406;40
45408;35408;35416;40
45991;35814;35815;50
46807;36380;36381;40
47693;36877;36871;40
49169;37609;37610;40
50274;9238;7205;20
52340;38344;38420;40
52409;3639;38899;20
54857;13711;211;20
54998;39977;39978;40
55220;37635;37623;70
470;1;2;90
711;3;4;40
1733;5;6;40
2381;7;8;60
2516;9;10;30
2550;11;12;120
3524;13;14;30
4043;15;16;50
4090;17;18;40
4870;19;20;90
5362;21;22;40
6244;23;24;20
6629;25;26;40
6649;27;28;40
7077;29;30;40
7304;31;32;60
7435;33;34;40
7813;35;36;40
9833;37;38;40
10367;39;40;60
10503;41;42;60
10547;43;44;40
10807;45;46;50
10975;47;48;50
11006;49;50;30
11404;51;52;40
11932;53;54;40
12404;55;56;40
12786;57;58;40
12936;59;60;60
13705;61;62;40
15793;63;64;40
16426;65;66;120
17421;67;68;40
17683;69;70;40
19658;71;72;30
21218;73;74;40
21545;75;76;50
23039;77;78;40
23360;79;80;60
23981;81;82;60
24015;44;83;40
24207;84;85;30
24674;86;87;20
24769;88;89;40
25642;90;91;30
26117;92;93;70
26402;94;95;40
27531;96;97;20
28130;98;99;30
28657;100;101;40
29522;102;103;120
29624;104;105;20
29817;106;107;120
30135;108;109;70
31018;110;111;20
32026;112;113;20
33360;114;115;20
33394;116;117;30
34450;118;119;60
34717;120;121;20
34813;122;123;120
35796;124;125;50
36608;126;127;30
37239;128;129;40
39061;130;131;40
39183;132;133;30
39197;134;135;60
39565;136;137;20
39667;138;139;40
40996;140;141;70
41109;142;143;30
41184;144;145;60
41248;146;147;40
41280;148;149;70
41739;150;151;90
42975;152;153;40
43066;154;155;40
44297;156;157;40
44363;158;159;40
44600;160;161;40
44634;162;163;40
45382;164;165;40
46135;166;167;50
46257;168;169;40
46572;170;171;40
47146;172;173;50
47851;159;174;50
47948;175;176;40
48180;177;178;30
49039;179;180;30
49445;181;182;40
49589;183;184;20
49649;185;186;40
50589;187;188;40
50778;189;190;50
50863;191;192;40
51075;193;194;20
51269;195;196;60
52425;197;198;30
53155;199;200;30
53157;201;202;20
53610;203;204;40
53674;205;206;40
53905;207;208;50
54610;209;210;40
54856;211;212;20
55793;213;214;40
1;215;216;70
2;216;217;70
3;217;218;70
4;218;219;70
5;220;221;70
6;221;222;70
7;223;224;70
8;225;226;40
9;226;227;40
10;227;228;40
11;228;229;40
12;230;231;40
13;231;232;40
14;233;234;70
15;234;235;70
16;235;236;70
17;236;237;70
18;238;239;70
19;239;240;70
20;240;241;70
21;241;242;70
22;242;243;70
23;243;244;70
24;244;245;70
25;245;246;70
26;246;116;70
27;247;248;40
28;248;249;40
29;250;251;40
30;251;252;40
31;253;254;40
32;254;255;40
33;255;256;40
34;256;257;40
35;257;258;40
36;258;259;40
37;259;260;40
38;260;261;40
39;261;247;40
40;247;262;40
41;262;263;40
42;263;264;40
43;264;265;40
44;265;266;40
45;267;268;90
46;268;269;90
47;269;270;90
48;270;271;90
49;272;273;90
50;274;275;40
51;276;277;40
52;277;278;40
53;279;280;50
54;281;282;50
55;283;284;90
56;284;285;90
57;285;286;90
58;287;288;30
59;219;289;70
60;290;291;70
61;292;276;30
